month,year,day,maximum,average,minimum
April,2018,25,59,55,50
April,2018,26,70,58,46
April,2018,27,73,59,45
April,2018,28,66,56,45
April,2018,29,71,57,42
April,2018,30,83,66,49
May,2018,1,84,72,60
May,2018,2,85,76,67
May,2018,3,74,69,63
May,2018,4,76,66,56
May,2018,5,82,69,55
May,2018,6,86,72,57
May,2018,7,83,70,57
May,2018,8,84,71,58
May,2018,9,89,77,64
May,2018,10,88,72,56
May,2018,11,86,74,62
May,2018,12,87,78,68
May,2018,13,89,79,68
May,2018,14,88,77,65
May,2018,15,83,74,64
May,2018,16,83,73,63
May,2018,17,79,72,64
May,2018,18,77,69,61
May,2018,19,76,68,60
May,2018,20,81,71,60
May,2018,21,79,71,63
May,2018,22,85,71,57
May,2018,23,87,77,67
May,2018,24,86,76,66
May,2018,25,82,75,67
May,2018,26,90,78,65
May,2018,27,94,82,69
May,2018,28,94,83,71
May,2018,29,89,79,68
May,2018,30,88,78,68
May,2018,31,86,78,70
June,2018,1,95,81,67
June,2018,2,86,77,67
June,2018,3,84,73,61
June,2018,4,79,68,56
June,2018,5,88,73,57
June,2018,6,90,76,62
June,2018,7,92,79,65
June,2018,8,89,81,73
June,2018,9,93,82,71
June,2018,10,95,83,71
June,2018,11,96,84,72
June,2018,12,89,79,68
June,2018,13,91,80,68
June,2018,14,96,82,67
June,2018,15,97,83,68
June,2018,16,96,85,74
June,2018,17,96,86,76
June,2018,18,97,86,75
June,2018,19,96,85,73
June,2018,20,93,81,68
June,2018,21,78,71,64
June,2018,22,73,69,64
June,2018,23,84,74,63
June,2018,24,84,75,66
June,2018,25,91,79,67
June,2018,26,76,72,67
June,2018,27,91,79,67
June,2018,28,98,85,72
June,2018,29,94,87,79
June,2018,30,95,87,78
July,2018,1,89,82,75
July,2018,2,90,80,70
July,2018,3,95,85,74
July,2018,4,95,85,75
July,2018,5,97,86,74
July,2018,6,91,81,70
July,2018,7,86,73,60
July,2018,8,90,75,59
July,2018,9,94,83,71
July,2018,10,98,85,72
July,2018,11,96,86,75
July,2018,12,99,84,69
July,2018,13,99,86,73
July,2018,14,96,84,72
July,2018,15,95,84,73
July,2018,16,96,84,72
July,2018,17,90,81,71
July,2018,18,89,80,70
July,2018,19,82,76,70
July,2018,20,94,81,68
July,2018,21,88,78,67
July,2018,22,85,76,67
July,2018,23,87,76,65
July,2018,24,92,80,67
July,2018,25,90,76,62
July,2018,26,82,73,64
July,2018,27,86,74,62
July,2018,28,86,74,62
July,2018,29,72,69,65
July,2018,30,80,72,64
July,2018,31,84,74,64
August,2018,1,90,75,60
August,2018,2,94,79,64
August,2018,3,97,83,68
August,2018,4,96,82,68
August,2018,5,99,88,76
August,2018,6,100,86,72
August,2018,7,83,77,70
August,2018,8,91,79,67
August,2018,9,96,81,65
August,2018,10,95,81,67
August,2018,11,93,81,68
August,2018,12,95,80,65
August,2018,13,96,82,68
August,2018,14,81,76,70
August,2018,15,87,79,71
August,2018,16,94,82,70
August,2018,17,88,79,70
August,2018,18,86,77,67
August,2018,19,86,77,68
August,2018,20,83,75,67
August,2018,21,84,76,67
August,2018,22,81,72,62
August,2018,23,76,67,57
August,2018,24,84,74,64
August,2018,25,95,85,74
August,2018,26,96,85,74
August,2018,27,97,86,74
August,2018,28,99,88,77
August,2018,29,82,76,69
August,2018,30,75,72,68
August,2018,31,82,76,69
September,2018,1,91,82,73
September,2018,2,89,80,71
September,2018,3,90,82,74
September,2018,4,91,82,72
September,2018,5,92,81,70
September,2018,6,84,78,72
September,2018,7,74,71,68
September,2018,8,69,66,63
September,2018,9,77,67,57
September,2018,10,81,68,54
September,2018,11,82,70,57
September,2018,12,81,70,59
September,2018,13,86,74,62
September,2018,14,91,79,67
September,2018,15,92,79,66
September,2018,16,92,79,66
September,2018,17,91,80,69
September,2018,18,94,81,68
September,2018,19,92,82,71
September,2018,20,92,83,73
September,2018,21,80,70,60
September,2018,22,75,64,53
September,2018,23,79,66,52
September,2018,24,74,71,67
September,2018,25,86,72,58
September,2018,26,67,58,49
September,2018,27,73,58,43
September,2018,28,75,62,49
September,2018,29,73,62,50
September,2018,30,79,70,61
October,2018,1,85,74,63
October,2018,2,88,78,67
October,2018,3,89,80,70
October,2018,4,79,66,53
October,2018,5,87,73,58
October,2018,6,79,70,60
October,2018,7,77,69,61
October,2018,8,85,77,68
October,2018,9,81,74,66
October,2018,10,70,60,49
October,2018,11,56,49,41
October,2018,12,46,43,39
October,2018,13,50,46,41
October,2018,14,56,49,42
October,2018,15,49,41,33
October,2018,16,59,44,28
October,2018,17,65,52,39
October,2018,18,63,51,38
October,2018,19,57,53,48
October,2018,20,64,50,36
October,2018,21,58,44,29
October,2018,22,73,56,39
October,2018,23,66,54,42
October,2018,24,59,48,37
October,2018,25,58,52,46
October,2018,26,51,48,45
October,2018,27,68,55,41
October,2018,28,66,56,46
October,2018,29,71,55,39
October,2018,30,76,64,52
October,2018,31,58,53,48
November,2018,1,51,46,40
November,2018,2,50,43,36
November,2018,3,54,46,37
November,2018,4,54,48,42
November,2018,5,50,45,39
November,2018,6,55,48,41
November,2018,7,50,42,34
November,2018,8,41,36,31
November,2018,9,35,28,20
November,2018,10,34,25,16
November,2018,11,45,36,26
November,2018,12,40,30,20
November,2018,13,28,22,15
November,2018,14,35,23,11
November,2018,15,45,36,27
November,2018,16,54,44,34
November,2018,17,51,43,35
November,2018,18,36,34,31
November,2018,19,45,39,33
November,2018,20,41,35,28
November,2018,21,61,46,30
November,2018,22,63,48,33
November,2018,23,51,47,42
November,2018,24,62,50,37
November,2018,25,50,39,28
November,2018,26,28,23,18
November,2018,27,26,21,16
November,2018,28,35,26,17
November,2018,29,54,40,26
November,2018,30,49,40,31
December,2018,1,61,53,44
December,2018,2,43,40,36
December,2018,3,36,34,31
December,2018,4,31,29,26
December,2018,5,45,36,27
December,2018,6,38,31,23
December,2018,7,32,26,20
December,2018,8,33,27,20
December,2018,9,36,26,15
December,2018,10,40,28,16
December,2018,11,55,40,24
December,2018,12,52,42,32
December,2018,13,49,45,41
December,2018,14,41,38,34
December,2018,15,53,42,31
December,2018,16,57,44,30
December,2018,17,54,41,27
December,2018,18,57,44,31
December,2018,19,56,47,37
December,2018,20,48,42,36
December,2018,21,40,34,27
December,2018,22,52,39,25
December,2018,23,46,37,28
December,2018,24,50,39,27
December,2018,25,53,46,38
December,2018,26,50,43,36
December,2018,27,61,47,33
December,2018,28,33,29,25
December,2018,29,27,23,19
December,2018,30,41,30,19
December,2018,31,43,40,37
January,2019,1,37,32,26
January,2019,2,29,27,25
January,2019,3,44,32,20
January,2019,4,53,41,29
January,2019,5,61,47,33
January,2019,6,58,47,36
January,2019,7,66,58,49
January,2019,8,51,45,38
January,2019,9,38,32,25
January,2019,10,38,29,20
January,2019,11,36,33,30
January,2019,12,34,32,29
January,2019,13,32,31,29
January,2019,14,30,29,28
January,2019,15,34,31,28
January,2019,16,35,33,30
January,2019,17,37,35,33
January,2019,18,37,35,32
January,2019,19,35,24,13
January,2019,20,17,13,8
January,2019,21,29,21,13
January,2019,22,43,35,27
January,2019,23,43,31,18
January,2019,24,30,22,13
January,2019,25,34,20,5
January,2019,26,43,33,22
January,2019,27,41,33,24
January,2019,28,46,31,15
January,2019,29,29,18,7
January,2019,30,7,0,-7
January,2019,31,29,16,2
February,2019,1,50,36,22
February,2019,2,61,47,32
February,2019,3,67,57,46
February,2019,4,62,45,27
February,2019,5,37,31,24
February,2019,6,33,32,30
February,2019,7,33,23,13
February,2019,8,19,14,9
February,2019,9,31,21,11
February,2019,10,34,30,26
February,2019,11,37,35,33
February,2019,12,39,34,28
February,2019,13,47,36,24
February,2019,14,61,44,26
February,2019,15,26,22,17
February,2019,16,29,18,6
February,2019,17,30,28,26
February,2019,18,30,25,20
February,2019,19,33,27,20
February,2019,20,37,34,31
February,2019,21,39,34,28
February,2019,22,41,35,29
February,2019,23,57,46,35
February,2019,24,38,30,22
February,2019,25,45,31,17
February,2019,26,54,40,25
February,2019,27,40,31,22
February,2019,28,26,23,19
March,2019,1,40,33,25
March,2019,2,32,29,25
March,2019,3,25,15,4
March,2019,4,16,8,-1
March,2019,5,26,17,8
March,2019,6,34,21,8
March,2019,7,43,36,29
March,2019,8,50,42,33
March,2019,9,59,48,37
March,2019,10,47,39,31
March,2019,11,54,44,34
March,2019,12,53,45,37
March,2019,13,64,56,48
March,2019,14,59,50,40
March,2019,15,49,42,35
March,2019,16,55,43,31
March,2019,17,50,42,34
March,2019,18,53,42,30
March,2019,19,56,46,35
March,2019,20,56,50,44
March,2019,21,57,47,36
March,2019,22,66,52,37
March,2019,23,63,52,40
March,2019,24,66,58,49
March,2019,25,57,51,44
March,2019,26,58,48,37
March,2019,27,70,54,37
March,2019,28,68,61,53
March,2019,29,60,56,51
March,2019,30,51,42,33
March,2019,31,46,37,28
April,2019,1,54,42,29
April,2019,2,62,48,34
April,2019,3,67,54,41
April,2019,4,59,54,49
April,2019,5,53,50,47
April,2019,6,73,59,45
April,2019,7,80,70,59
April,2019,8,79,68,56
April,2019,9,77,65,52
April,2019,10,86,71,55
April,2019,11,74,59,43
April,2019,12,58,47,36
April,2019,13,60,49,37
April,2019,14,55,45,34
April,2019,15,75,55,35
April,2019,16,84,70,55
April,2019,17,79,71,63
April,2019,18,65,57,49
April,2019,19,61,53,44
April,2019,20,71,55,39
April,2019,21,84,67,50
April,2019,22,79,70,61
April,2019,23,62,57,52
April,2019,24,60,57,55